tags,is_answered,view_count,answer_count,score,last_activity_date,creation_date,last_edit_date,question_id,link,title,owner.account_id,owner.reputation,owner.user_id,owner.accept_rate,owner.display_name,accepted_answer_id,closed_date,closed_reason,bounty_amount,bounty_closes_date,migrated_from.other_site.aliases,migrated_from.other_site.styling.tag_background_color,migrated_from.other_site.styling.tag_foreground_color,migrated_from.other_site.styling.link_color,migrated_from.other_site.related_sites,migrated_from.other_site.markdown_extensions,migrated_from.other_site.launch_date,migrated_from.other_site.open_beta_date,migrated_from.other_site.closed_beta_date,migrated_from.other_site.site_state,migrated_from.other_site.high_resolution_icon_url,migrated_from.other_site.favicon_url,migrated_from.other_site.icon_url,migrated_from.other_site.audience,migrated_from.other_site.site_url,migrated_from.other_site.api_site_parameter,migrated_from.other_site.logo_url,migrated_from.other_site.name,migrated_from.other_site.site_type,migrated_from.on_date,migrated_from.question_id,locked_date,language
"['c++', 'memory', 'memory-leaks', 'umdh']",False,24,0,-1,2023-06-02 17:32:28,2023-06-02 17:25:46,2023-06-02 17:32:28,76392311,https://stackoverflow.com/questions/76392311/memory-leak-in-bstr-t,Memory leak in _bstr_t,1197008.0,325.0,1168494.0,14.0,StackUser,,,,,,,,,,,,,,,,,,,,,,,,,,,,c++
"['c++', 'multithreading', 'shared-data', 'std-future']",True,24,1,0,2023-06-02 17:36:27,2023-06-02 17:17:21,2023-06-02 17:36:27,76392252,https://stackoverflow.com/questions/76392252/multithreading-with-stdfuture-in-c-accessing-shared-data,Multithreading with std::future in C++: Accessing shared data,28113331.0,3.0,21480782.0,,Ravement,76392286.0,,,,,,,,,,,,,,,,,,,,,,,,,,,c++
"['c++', 'grpc', 'azure-data-explorer', 'open-telemetry', 'open-telemetry-collector']",False,11,1,0,2023-06-02 17:34:09,2023-06-02 17:13:46,2023-06-02 17:34:09,76392226,https://stackoverflow.com/questions/76392226/opentelemetry-collector-not-exporting-data-to-azure-data-explorer,OpenTelemetry Collector not exporting data to Azure Data Explorer,7352206.0,1.0,5597957.0,,Shivani Tyagi,,,,,,,,,,,,,,,,,,,,,,,,,,,,c++
"['c++', 'string', 'memory']",False,26,0,1,2023-06-02 17:06:28,2023-06-02 17:06:28,,76392185,https://stackoverflow.com/questions/76392185/where-are-string-literals-stored,Where are string literals stored?,7571356.0,35.0,5745137.0,,aritosteles,,2023-06-02 17:11:50,Duplicate,,,,,,,,,,,,,,,,,,,,,,,,,c++
['c++'],False,25,0,-2,2023-06-02 16:45:45,2023-06-02 16:36:27,2023-06-02 16:45:45,76392016,https://stackoverflow.com/questions/76392016/pattern-to-avoid-template-virtual-member-function,pattern to avoid template virtual member function,20562003.0,29.0,15092302.0,,titouan,,2023-06-02 16:43:40,Needs details or clarity,,,,,,,,,,,,,,,,,,,,,,,,,c++
"['c++', 'boost', 'linker']",False,15,0,-2,2023-06-02 17:22:53,2023-06-02 16:15:12,2023-06-02 17:22:53,76391853,https://stackoverflow.com/questions/76391853/booster-library-how-add-linker-to-mingw,Booster Library how add Linker to MinGW,19379111.0,298.0,14170782.0,,Muddyblack k,,,,,,,,,,,,,,,,,,,,,,,,,,,,c++
"['c++', 'c++17']",True,61,2,5,2023-06-02 16:57:00,2023-06-02 16:09:57,,76391811,https://stackoverflow.com/questions/76391811/unused-parameter-warning-in-templated-function-with-if-constexpr,Unused parameter warning in templated function with if constexpr,6443040.0,7984.0,4992422.0,57.0,PYA,,,,,,,,,,,,,,,,,,,,,,,,,,,,c++
"['c++', 'algorithm', 'graph', 'tree', 'time-complexity']",False,39,2,-1,2023-06-02 17:19:35,2023-06-02 16:06:35,2023-06-02 16:22:36,76391788,https://stackoverflow.com/questions/76391788/how-do-i-resolve-the-time-limit,How do I resolve the time limit?,28713607.0,37.0,22003784.0,,Isa,,,,,,,,,,,,,,,,,,,,,,,,,,,,c++
"['c++', 'boost', 'boost-sml']",False,10,0,0,2023-06-02 15:49:20,2023-06-02 15:49:20,,76391670,https://stackoverflow.com/questions/76391670/how-to-get-current-state-from-multiple-nested-transition-tables-using-boostsml,How to get current state from multiple nested transition tables using boost::sml library?,17459492.0,1.0,12657515.0,,user12657515,,,,,,,,,,,,,,,,,,,,,,,,,,,,c++
"['c++', 'ubuntu', 'ubuntu-20.04', 'vcpkg']",False,6,0,0,2023-06-02 15:48:58,2023-06-02 15:48:58,,76391664,https://stackoverflow.com/questions/76391664/downloading-vcpkg-glibc-and-jump-out-when-trying-install-vcpkg,Downloading vcpkg-glibc... and jump out when trying install vcpkg,19521005.0,1.0,14282898.0,,Marcsims,,,,,,,,,,,,,,,,,,,,,,,,,,,,c++
['c++'],True,56,1,-1,2023-06-02 16:09:47,2023-06-02 15:37:44,,76391592,https://stackoverflow.com/questions/76391592/avoiding-repetition-of-begin-and-end,Avoiding repetition of .begin() and .end(),277615.0,358.0,571711.0,,Rob Gilton,,2023-06-02 16:09:19,Duplicate,,,,,,,,,,,,,,,,,,,,,,,,,c++
"['c++', 'iis', 'visual-studio-2022', 'iis-modules']",False,15,0,-1,2023-06-02 15:46:19,2023-06-02 15:19:04,2023-06-02 15:46:19,76391472,https://stackoverflow.com/questions/76391472/what-workloads-components-do-i-need-to-develop-an-iis-native-module-using-c-in,What Workloads/Components do I need to develop an IIS Native Module using C++ in Visual Studio 2022?,6982058.0,45.0,5354570.0,,prancer71,,,,,,,,,,,,,,,,,,,,,,,,,,,,c++
"['c++', 'templates', 'polymorphism', 'c++-templates']",True,46,1,-1,2023-06-02 16:54:02,2023-06-02 15:08:47,2023-06-02 16:54:02,76391385,https://stackoverflow.com/questions/76391385/is-compile-time-polymorphism-in-c-templates-possible,Is Compile-time Polymorphism in C++ Templates Possible?,14490915.0,254.0,12027832.0,,NullPointerException,,2023-06-02 16:30:51,Needs details or clarity,,,,,,,,,,,,,,,,,,,,,,,,,c++
"['c++', 'visual-studio-code']",True,23,1,3,2023-06-02 15:10:51,2023-06-02 14:55:34,2023-06-02 14:59:11,76391249,https://stackoverflow.com/questions/76391249/is-there-a-way-to-maintain-c-array-formatting-when-using-vscodes-default-form,Is there a way to maintain C++ array formatting when using VScode&#39;s default formatter upon saving?,26591141.0,33.0,20214357.0,,Aiden Rand,76391358.0,,,,,,,,,,,,,,,,,,,,,,,,,,,c++
['c++'],False,47,1,-3,2023-06-02 14:57:13,2023-06-02 14:49:36,2023-06-02 14:50:29,76391199,https://stackoverflow.com/questions/76391199/beginner-c-help-for-loop,Beginner C++ Help (For Loop),24822863.0,25.0,18703009.0,,baby_sql,,,,,,,,,,,,,,,,,,,,,,,,,,,,c++
"['c++', 'static', 'c++14', 'static-order-fiasco']",False,33,1,-4,2023-06-02 15:04:13,2023-06-02 14:46:40,,76391179,https://stackoverflow.com/questions/76391179/c-static-variables-order-fiasco-weird-behaviour,C++ static variables order fiasco weird behaviour,7363198.0,129.0,5605802.0,,Antoun,,2023-06-02 17:05:02,Duplicate,,,,,,,,,,,,,,,,,,,,,,,,,c++
